,꽃,월,계절,꽃말,색상,꽃1,꽃2
77,꼬리조팝나무꽃,6,여름,은밀한 사랑,분홍,실바핑크 장미,맥문동
78,꽃 아로니아,4,봄,영원한 사랑,노랑,퀵샌드 장미,알테어 카네이션
79,꽃 영춘화,4,봄,사모하는 마음,노랑,블랙뷰티 장미,꽃아그배나무꽃
80,꽃고비,4,봄,와 주세요,파랑,수국,옥시페탈룸
81,꽃담배,8,여름,그대있어 외롭지 않네,흰색,복숭아꽃,바람꽃
82,꽃동백,12,겨울,누구보다 그대를 사랑해요,빨강,익시아,패모
83,꽃무릇(석산),9,가을,참사랑,빨강,팬지,월귤
84,꽃베고니아,4,봄,"친절, 정중",노랑,퀵샌드 장미,알테어 카네이션
85,꽃아그배나무꽃,10,가을,산뜻한 미소,흰색,복숭아꽃,바람꽃
86,꽃아까시나무꽃,5,봄,단결,파랑,센토레아(수레국화),산수국
87,꽃아카시아나무꽃,3,봄,품위,분홍,자나 장미,큐트 카네이션
88,꽃양귀비,7,여름,위안,빨강,팬지,꽃아그배나무꽃
89,꽃창포,6,여름,"우아한 마음, 좋은 소식",보라,팬지,쑥부쟁이
90,꽃향유,11,가을,"조숙, 성숙",보라,펠리시티 장미,오리엔탈 백합
91,꽈리,9,가을,거짓,초록,팬지,맥문동
92,나도풍란,1,겨울,인내,흰색,레이스플라워,카모밀레
93,나무딸기꽃,3,봄,애정,초록,프루테토 장미,염색 수국
94,나팔 백합,11,가을,"순결, 위엄",흰색,블랙뷰티 장미,좀작살나무꽃
95,나팔꽃,7,여름,"풋사랑, 덧없는 사랑, 기쁨",보라,현호색,닭의장풀
96,나팔수선화,4,봄,존경,노랑,논냉이,맥문동
97,남산제비꽃,3,봄,풋향기 나는 가인,흰색,복숭아꽃,바람꽃
98,남천,2,겨울,지속적인 사랑,흰색,이응매,흰독말풀
99,납매,12,겨울,자애,노랑,논냉이,맥문동
100,냉이,2,겨울,나의 모든 것을 바칩니다.,흰색,블랙뷰티 장미,팬지
101,네리네,11,가을,다시 만날 그날까지,흰색,펠리시티 장미,왁스플라워
102,네모필라,2,겨울,애국심,파랑,흑종초,수국
103,노나 장미,6,여름,부드러운 마음,흰색,에린지움,아라비아의별
104,노단새,3,봄,행복,분홍,큐트 카네이션,오리엔탈 백합
105,노랑 히야신,1,겨울,승부,노랑,돌세토 장미,일세 장미
106,노랑무늬붓꽃,5,봄,절제된 아름다움,흰색,팬지,수선화
107,노랑붓꽃,6,여름,가엾은 애정,노랑,빨간국화,헬리옵시스
108,노랑수선화,1,겨울,사랑에 답하여,주황,버드푸드,캘리포니아퍼피
109,노랑어리연꽃,7,여름,수면의 요정,노랑,논냉이,맥문동
110,노랑장미,7,여름,아름다움,노랑,팬지,다알리아
111,노랑제비꽃,1,겨울,수줍은 사랑,노랑,노랑수선화,캘리포니아퍼피
112,노랑튤립,5,봄,사랑의 표시,노랑,피치팡팡 장미,볼레로 카네이션
113,노루귀,1,겨울,인내,파랑,제비고깔,수국
114,노루귀,3,봄,"위로, 인내",파랑,제비고깔,수국
115,노루발풀,3,봄,은인,빨강,매발톱꽃,레이첼 장미
116,노루오줌,5,봄,쑥스러움,분홍,좀작살나무꽃,알리움
117,노비아 카네이션,6,여름,존경,분홍,염색 카네이션,흰색장미
118,논냉이,4,봄,불타는 애정,흰색,쑥국화,맥문동
119,눈개쑥부쟁이,11,가을,찬사,보라,초롱꽃,아몬드
120,뉴페이스 장미,6,여름,"새로운 사랑, 열정",빨강,팬지,덴파레
121,능소화,8,여름,"여성, 명예",주황,목련,사이다 장미
122,니겔라,3,봄,꿈길의 애정,흰색,에린지움,아라비아의별
123,니콜 카네이션,6,여름,사랑과 존경,흰색,이응매,남천
124,다마스커스 카네이션,6,여름,존경,빨강,아라비아의별,굿무드 장미
125,다미나 카네이션,6,여름,존경,빨강,염색 수국,캔들라이트 장미
126,다알리아,8,여름,"감사, 우아",분홍,하마다 카네이션,세일러문 해바라기
127,다알리아,9,가을,"화려함, 감사",분홍,팬지,미니 거베라
128,다이아몬드 소국,9,가을,밝은 마음,흰색,레이스플라워,카라
129,다크익스프레션 장미,6,여름,"사랑, 아름다움",빨강,쉼머 장미,염색 튤립
130,달맞이꽃,7,여름,기다림,노랑,팬지,미니 거베라
131,닭의장풀,7,여름,시샘,파랑,현호색,제비꽃
132,당근꽃,3,봄,죽음도 아깝지 않으리,흰색,초롱꽃,사스레피나무꽃
133,당아욱,3,봄,"어머니의 사랑, 은혜",보라,팬지,야생화
134,더블라떼 마트리카리아,6,여름,한자리에 모인 기쁨,초록,무스카리,염색 카네이션
135,데스티니 장미,6,여름,사랑할 운명,주황,돌세토 장미,시크보이 장미
136,데이지,3,봄,명랑,흰색,블랙뷰티 장미,무스카리
137,데이지,5,봄,진실한 사랑,흰색,블랙뷰티 장미,수선화
138,덴드로비움,12,겨울,"말괄량이, 미인",보라,금낭화,큐트 카네이션
139,덴파레,5,봄,"축하, 축복",분홍,팬지,밀레니얼핑크 장미
140,델피니 장미,6,여름,"갈망, 존경",주황,브루트 카네이션,카우보이 카네이션
141,델피니움,7,여름,"가벼움, 경솔, 제 마음을 헤아려 주세요.",파랑,포드 소국,큰금계국
142,도라지,4,봄,상냥하고 따뜻함,보라,수국,매화
143,도라지,8,여름,"성실, 품위",보라,수국,매화
144,돈셀 카네이션,6,여름,존경,빨강,딜레타 카네이션,볼레로 카네이션
145,돈페드로 카네이션,6,여름,존경,빨강,블랙뷰티 장미,후크시아
146,돌단풍,4,봄,미덕,흰색,복숭아꽃,바람꽃
147,돌세토 장미,6,여름,"영원한 사랑, 달콤함",빨강,이응매,딥실버 장미
148,동백나무꽃,2,겨울,"겸손한 아름다움, 자랑",빨강,익시아,패모
149,동백나무꽃,4,봄,매력,빨강,익시아,패모
150,동의나물꽃,4,봄,"다가올 행복, 금잔",노랑,버드푸드,캘리포니아퍼피
151,동자꽃,6,여름,나의 진정을 받아 주세요.,빨강,블랙뷰티 장미,흰색양귀비
152,동자꽃,11,가을,기발한 지혜,빨강,블랙뷰티 장미,수선화
153,둥근잎꿩의비름,9,가을,"토착, 친숙",분홍,복숭아꽃,작약
154,드라이 라벤더,7,여름,"정절, 침묵",보라,블랙뷰티 장미,팬지
155,드라큘라 카네이션,6,여름,사랑과 존경,빨강,블랙뷰티 장미,좀작살나무꽃
156,들장미,10,가을,시,분홍,델피니움,포드 소국
157,디그니티 장미,6,여름,달콤한 고백,분홍,레이스플라워,염색 수국
158,디기탈리스,6,여름,가슴속의 생각,보라,퀵샌드 장미,웨스트민스터 애비 장미
159,디노 카네이션,6,여름,사랑과 존경,노랑,산자고,로사넬라 장미
160,디디스커스,5,봄,아이,보라,제비고깔,까실쑥부쟁이
161,디스버드 국화,10,가을,내 마음은 진심입니다,노랑,버드푸드,캘리포니아퍼피
162,딜레타 카네이션,6,여름,존경,노랑,피치팡팡 장미,볼레로 카네이션
163,딥실버 장미,6,여름,영원한 사랑,빨강,염색 카네이션,유카리체리 카네이션
164,딥퍼플 장미,6,여름,사랑의 서약,분홍,팬지,밀레니얼핑크 장미
165,땅나리,8,여름,"발랄, 열정",빨강,쉼머 장미,염색 튤립
166,땅채송화,7,여름,씩씩함,노랑,노랑수선화,캘리포니아퍼피
167,라넌큘러스,4,봄,"비난, 화사한 매력",빨강,레이스플라워,별꽃
168,라넌큘러스,5,봄,당신은 매력적입니다,빨강,세일러문 해바라기,로다스 카네이션
169,라벤더,12,겨울,기대,보라,웨스트민스터 애비 장미,피콜리니 거베라
170,라이스플라워,3,봄,풍요로운 결실,흰색,염색 카네이션,해오라비난초
171,라일락,4,봄,"젊은 날의 추억, 첫사랑",보라,웨스트민스터 애비 장미,피콜리니 거베라
172,라일락,5,봄,사랑의 싹,보라,웨스트민스터 애비 장미,피콜리니 거베라
173,라일락멜리사 카네이션,6,여름,사랑과 존경,분홍,딜레타 카네이션,피치팡팡 장미
174,라티나 장미,6,여름,찬란한 사랑,노랑,팬지,미니 거베라
175,락스 소국,9,가을,제 마음은 진심입니다,분홍,올라야,거베라
176,람브레타 카네이션,6,여름,사랑과 존경,주황,산자고,로사넬라 장미
177,러블리 살몬 소국,9,가을,수줍은 진심,주황,복숭아꽃,레이스플라워
178,러블리리디아 장미,6,여름,아직 실현되지 않은 사랑,분홍,퀵샌드 장미,오리엔탈 백합
179,레게핑크 카네이션,6,여름,존경,빨강,무스카리,별튤립
180,레너드 카네이션,6,여름,존경,빨강,팬지,꽃아그배나무꽃
181,레드팬써 장미,6,여름,사랑의 열정,빨강,익시아,패모
182,레이스플라워,6,여름,우아한 몸짓,초록,겹 소국,웨스트민스터 애비 장미
183,레이첼 장미,6,여름,첫사랑,분홍,카림보 카네이션,큐티버블 소국
184,레제다오도라,6,여름,매력,흰색,호자나무꽃,아라비아의별
185,로다스 카네이션,6,여름,존경,노랑,카모밀레,꽈리
186,로라 카네이션,6,여름,사랑과 존경,분홍,벳시 카네이션,무스카리
187,로마니 카네이션,6,여름,사랑과 존경,빨강,헬리옵시스,피냐타선드랍스 카네이션
188,로미오 장미,6,여름,행복한 사랑,주황,나도풍란,겹복숭아 꽃
189,로벨리아,10,가을,악의,보라,블랙뷰티 장미,팬지
190,로사넬라 장미,6,여름,첫사랑,주황,왁스플라워,나도풍란
191,로사캠피온,8,여름,성실,보라,센토레아(수레국화),델피니움
192,로얄파크 장미,6,여름,"순결, 기품",노랑,맥문동,수선화
193,로즈마리,9,가을,나를 사랑해요,보라,블랙뷰티 장미,팬지
194,로지타 벤델라 장미,6,여름,"갈망,존경",분홍,골든게이트 카네이션,계란 소국
195,루드베키아,8,여름,영원한 행복,노랑,논냉이,맥문동
196,루치아노 장미,5,봄,다양,분홍,꽈리,염색 카네이션
197,루피너스,5,봄,"탐욕, 삶의 욕구",분홍,염색 수국,맨스필드파크 장미
198,류코코리네,4,봄,따뜻한 마음,보라,히야신스,투구꽃
199,리나 카네이션,6,여름,사랑과 존경,빨강,쉼머 장미,염색 튤립
200,리모늄 미스티블루,8,여름,청초한 사랑,보라,블랙뷰티 장미,팬지
201,마가렛,3,봄,진실한 사랑,노랑,블랙뷰티 장미,좀작살나무꽃
202,마거리트,9,가을,마음속에 감춘사랑,흰색,굿무드 장미,다마스커스 카네이션
203,마리포사 카네이션,6,여름,존경,빨강,연령초,복숭아꽃
204,마삭줄,11,가을,"매혹, 속삭임",흰색,현호색,냉이
205,마이네리브 장미,5,봄,나의 사랑스러운 사람,빨강,꽈리,염색 카네이션
206,마취목,11,가을,희생,흰색,무스카리,맥문동
207,마타리,8,여름,미인,노랑,노랑수선화,캘리포니아퍼피
208,마트리카리아 써니볼,6,여름,한자리에 모인 기쁨,노랑,팬지,다알리아
209,만달라 장미,6,여름,사랑의 맹세,분홍,연령초,복숭아꽃
210,만병초,7,여름,"위엄, 존엄",흰색,복숭아꽃,바람꽃
211,말리부 장미,6,여름,사랑에 물들다,분홍,골든게이트 카네이션,계란 소국
212,말발도리,7,여름,애교,흰색,블랙뷰티 장미,팬지
213,맘보 장미,6,여름,"열정, 매혹",주황,팬지,닭의장풀
214,매발톱꽃,7,여름,"보라색 버림받은 애인, 흰색 우둔, 적색 염려",빨강,노루발풀,레이첼 장미
215,매쉬매리골드,1,겨울,반드시 오고야말 행복,노랑,논냉이,맥문동
216,매직타임즈 장미,9,가을,중독,빨강,겹헬레보러스,페어플로우 장미
217,매화,10,가을,고결한 마음,분홍,깽깽이풀,쥐꼬리망초
218,매화,12,겨울,맑은마음,분홍,깽깽이풀,쥐꼬리망초
219,맥문동,12,겨울,기쁨의 연속,보라,실바핑크 장미,꼬리조팝나무꽃
220,맨드라미,9,가을,"사진, 헛된 장식, 뜨거운 사랑",빨강,블랙뷰티 장미,좀작살나무꽃
221,맨스필드파크 장미,6,여름,"영원한 사랑, 달콤함",분홍,염색 수국,일반 리시안셔스
222,맨스필드핑크파크 장미,6,여름,"영원한 사랑, 달콤함",빨강,차밍레이스 장미,별튤립
223,메꽃,6,여름,서서히 깊숙이 들어가다.,보라,박하,멜리사
224,메리골드,6,여름,가엾은 애정,주황,버드푸드,노랑수선화
225,메리골드,11,가을,이별의 슬픔,주황,버드푸드,노랑수선화
226,멕사칸아이비,9,가을,변화,보라,팬지,야생화
